"exhibitor_company_name","exhibitor_city","exhibitor_state","exhibitor_country","exhibitor_description","exhibitor_website","exhibitor_linkedin","exhibitors_page_url"
"365 Retail Markets","Troy","MI","United States","","","","https://nrfbigshow.nrf.com/company/365-retail-markets"
"42Gears","Fremont","CA","United States","42Gears is a leading Mobile Device Management solution provider, helping customers secure, monitor and manage business endpoints, including tablets, phones, rugged devices, desktops, wearables, VR devices, and more. Over 18,000 customers in more than 115 countries have chosen 42Gears to manage their deployments, with a proven track record of success in many industries.       MDM solution by 42Gears gives IT teams everything needed for full Device Lifecycle Management, including Mobile Application Management, Mobile Device Management, and Mobile Content Management.       Kiosk Lockdown Software turns any device into a secure kiosk, running one or several pre-approved apps. Plus, the 42Gears secure enterprise web browser lets admins control what websites and web apps users can or can’t access.        Gartner has included 42Gears in its Magic Quadrant for UEM Tools report several years in a row, and has recognized 42Gears as a Gartner Peer Insights Customers’ Choice for UEM Tools in 2018 and 2019.","https://www.42gears.com/","https://www.linkedin.com/company/42gears/mycompany/","https://nrfbigshow.nrf.com/company/42gears"
"4R","Berwyn","PA","United States","The 4R suite of solutions and services helps businesses manage inventory as an investment. We focus on the high-value processes for optimizing supply chain and inventory management, in these core functions: Demand Planning Replenishment Assortment Allocation Markdown Our Profit Optimized solutions take full advantage of advanced analytics, which leverage these improved predictions and promise to deliver a profit optimal improvement across your supply chain and merchandising decisions.  Along with our advanced analytics solutions, we also provide Planning as a Service (PaaS).  4R Supply Chain Planning as a Service is an outsourced solution and service model which helps companies gain control of their supply chain through leading practices and expertise.  With 4R PaaS, our supply chain experts team up with our clients to execute all aspects of the supply chain planning process to drive business performance through vendor order and inventory allocation profit optimization. 4R puts the right people, processes and tools in place to achieve Supply Chain Operational Excellence.","https:http://www.4rsystems.com","https://www.linkedin.com/company/4r-systems/","https://nrfbigshow.nrf.com/company/4r"
"Abacus Solutions International Group","Chalvington","Sussex","United Kingdom","Abacus' mission: Lottery Everywhere    The Abacus gateway connects consumers, retailers, vendors and lotteries, bridging the gaps between the different parties for frictionless ticket sales and gameplay, enabling lottery to be played everywhere.   Abacus believes the future of lottery lies in integrating with existing retailer and consumer infrastructures. We enable this by providing a highly secure transaction gateway that allows all parties to work together to create mutual growth.   Abacus has a strong focus on speed to market, simplicity of implementation, and reducing its customers' overheads, delivering a seamless integrated solution to drive increased sales.","https://www.lotteryeverywhere.com","","https://nrfbigshow.nrf.com/company/abacus-solutions-international-group"
"Accenture","Chicago","IL","United States","","","","https://nrfbigshow.nrf.com/company/accenture"
"AccuStore","Clearwater","FL","United States","AccuStore, a GSP company, leverages technology to provide increased store visibility and robust store profile data resulting in improved efficiencies for multi-location retailers.    Professional onsite surveys and customized store profiling technology gives team members and stakeholders the real-time store data and insight needed to help each location succeed. Virtual store surveys allow remote store visits with deep detail.      Our professional onsite surveys deliver precise information about every store and increase efficiency, reduce costs, communicate relevant messaging. AccuStore lets retailers create and manage a single source of accurate store-level details and generates store-specific marketing kits. The AccuStore Mobile App makes it easy for retailers and their teams to access, update, record and share store-level data anytime, anywhere.","https://www.accustore.com","http://www.linkedin.com/company/accustore/","https://nrfbigshow.nrf.com/company/accustore"
"Accuvia Software Group","Chicago","IL","United States","“How do we engage with our customers?” This is the fundamental question that successful retailers need to ask themselves each and every day. If you don’t yet have an answer to this question or are not satisfied with your answer, stop by to hear how other successful retailers are doing it. Engaging with your customers is more than sending them an email or text. It is knowing your customers and understanding their preferences. Learn how our integrated suite of solutions can help you better identify, understand and engage with your customers. Accuvia Software Group is a software company that is passionate about helping retailers engage with their consumers. We are more than just a vendor and through close collaboration, help retailers optimize store operations. At the end of the day, our job is to help you answer the question specifically for your business: How do you engage with your customers?","https:http://www.accuvia.com","https://www.linkedin.com/company/accuvia-software-group/","https://nrfbigshow.nrf.com/company/accuvia-software-group"
"ACI Worldwide","Miami","FL","United States","ACI Worldwide is a global software company that delivers mission-critical real-time payment solutions to corporations. Customers use our proven, scalable solutions to process and manage digital payments, enable omni-commerce payments, present and process bill payments, and manage fraud and risk. We combine our global footprint with local presence to drive the real-time digital transformation of payments and commerce. Visit us at www.aciworldwide.com","https:http://www.aciworldwide.com","https://www.linkedin.com/company/aci-worldwide","https://nrfbigshow.nrf.com/company/aci-worldwide"
"ACID Point of Sale","Austin","TX","United States","Flexible retail management solution for your in-store and online business. ACID provides an all-in-one system that empowers merchants to run their stores by optimizing inventory management, customer management, sales reports, eCommerce, and multiple retail stores all under one cloud-based platform. ACID Point of Sale hardware and software is intuitive, easy to use, fast, and reliable. Choose from elegant 22 inch screen systems to mobile on-the-go chip enabled solutions. Advanced Customer Information Delivery (ACID) is headquartered in Austin, TX. For more information, please visit www.acidpos.com.","https:http://www.acidpos.com","https://www.linkedin.com/company/acidpos/","https://nrfbigshow.nrf.com/company/acid-point-sale"
"Acumera","Austin","TX","United States","Acumera helps retailers reduce the complexity of network management, support secure payments, simplify PCI compliance, and protect their businesses. As the premier technology and service partner for the multi-site world, Acumera is laser focused on solutions that address the unique needs of multi-site operators. We are your one stop provider to give your business the foundation it needs with a strong and secure network, while enabling future growth and innovation with the leading edge computing platform for retail.   Our unique combination of cloud-managed network security and edge computing enables rapid implementation of emerging technologies, fueling future growth and innovation for retail locations and DevOps workflows. Acumera’s software-as-a-service (SaaS) solutions are backed by 24x7x365 support, allowing businesses with distributed networks more efficiencies while ensuring best-in-class reliability and security in day-to-day operations.","https:http://www.acumera.com","https://www.linkedin.com/company/acumera-inc/","https://nrfbigshow.nrf.com/company/acumera"
"Ada","Toronto","ON","Canada","Ada is the leading technology provider of Automated Brand Interactions, empowering the world's fastest growing companies, like Zoom, Facebook, and Square, with best-in-class solutions that deliver digital-first, omni-channel experiences at scale.  Fueling interactions between brands and the people who love them—prospective and loyal customers, stakeholders and employees—Ada transforms reactive CX models into proactive, tailored profit generators that span the entire customer journey. For more information, visit www.ada.cx.","https://www.ada.cx/","https://www.linkedin.com/company/ada-cx/mycompany/","https://nrfbigshow.nrf.com/company/ada"
