"compnay_name","website","facebook","linkdein","twitter","img","city","emails","address","description","presentation","business_challenge","business_sector","business_solution","business_intervention","business_product_name","business_product_description"
"Fulfilmentcrowd SAS","https://www.fulfilmentcrowd.com/fr/","","https://www.linkedin.com/company/fulfilmentcrowd/mycompany/verification/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","k.plantier@fulfilmentcrowd.fr","2 boulevard d'Espagne
77127 Lieusaint
FRANCE
k.plantier@fulfilmentcrowd.fr
https://www.fulfilmentcrowd.com/fr/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Cross-border logistics
Logistics & Supply chain softwares","","","",""
"Pictime","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","61 Avenue de l'Harmonie,
Parc de la haute Borne
59262 Sainghin-en-Mélantois
FRANCE","","","","","","","",""
"FLOA Pay","https://www.floapay.com","","https://www.linkedin.com/company/floabank/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact-presse@floa.fr","Bâtiment G7
71 rue Lucien Faure
33000 Bordeaux
FRANCE
contact-presse@floa.fr
https://www.floapay.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Secure payment","","","",""
"CENPAC","http://www.cenpac.fr","","www.linkedin.com/company/cenpac","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@cenpac.fr","161 rue de la Belle Étoile - bât 1A
ZI Paris Nord 2
95700 Roissy-en-France
FRANCE
contact@cenpac.fr
http://www.cenpac.fr","Meet your packaging needs at each step of your business growth","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Packaging
Storage / Drop shipping","Solutions Workshops","Meet your packaging needs at each step of your business growth","",""
"PIC DIGITAL","https://pic.digital","https://www.facebook.com/picdigitalagence/","https://fr.linkedin.com/company/picdigital","https://twitter.com/pic_digital","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","administratif@pic-digital.com","245 allée Théodore Monod
64210 Bidart
FRANCE
administratif@pic-digital.com
https://pic.digital","Boost your e-commerce (make more money) by optimizing user experience, SEO & data for B2B ou B2C.","We design web portals and e-commerce sites that boost performance, turnover & customer relations.","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
Digital transformation consulting
IT FOR COMMERCE
E-Catalogues
E-commerce platforms
M-Commerce / Mobile sites
Technical integration
Websites development / E-shops
MARKETING / DATA / CUSTOMER RELATIONS
Ergonomics / UX
SEO / SEA
RETAIL TECH / DIGITAL IN STORE
Mobile applications","Solutions Workshops","Boost your e-commerce (make more money) by optimizing user experience, SEO & data for B2B ou B2C.","",""
"Contentful","https://www.contentful.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","","Max-Urich-Straße 3
13355 Berlin
GERMANY

https://www.contentful.com","","","","","","","",""
"CAP INFO","https://www.e-capinfo.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","infos@e-capinfo.com","3 Allée de la Combe
Immeuble le Sémanet II
69380 LISSIEU
FRANCE
infos@e-capinfo.com
https://www.e-capinfo.com/","","","","","","","",""
"Xpollens","http://www.xpollens.com","","https://www.linkedin.com/company/xpollens/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@xpollens.com","110 avenue de France
75013 Paris
FRANCE
hello@xpollens.com
http://www.xpollens.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Digital Wallet
Fintech
Payment card solutions","","","",""
"IXOPAY","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/aut.svg","AUSTRIA","","Mariahilfer Straße 77-79
A-1060 Vienna
AUSTRIA","","","","","","","",""
"Easyence","https://www.easyence.com","","https://www.linkedin.com/company/easyence","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@easyence.com","9 rue des Colonnes
75002 Paris
FRANCE
contact@easyence.com
https://www.easyence.com","","","OMNI CHANNEL COMMERCE","MARKETING / DATA / CUSTOMER RELATIONS
Analytics / Audit / Audience measuring
DMP / Data Management","","","",""
