"compnay_name","website","linkedin","image","city","emails","address","description"
"Fulfilmentcrowd SAS","https://www.fulfilmentcrowd.com/fr/","https://www.linkedin.com/company/fulfilmentcrowd/mycompany/verification/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","k.plantier@fulfilmentcrowd.fr","2 boulevard d'Espagne
77127 Lieusaint
FRANCE
k.plantier@fulfilmentcrowd.fr
https://www.fulfilmentcrowd.com/fr/",""
"Pictime","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","61 Avenue de l'Harmonie,
Parc de la haute Borne
59262 Sainghin-en-Mélantois
FRANCE",""
"FLOA Pay","https://www.floapay.com","https://www.linkedin.com/company/floabank/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact-presse@floa.fr","Bâtiment G7
71 rue Lucien Faure
33000 Bordeaux
FRANCE
contact-presse@floa.fr
https://www.floapay.com",""
"CENPAC","http://www.cenpac.fr","www.linkedin.com/company/cenpac","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@cenpac.fr","161 rue de la Belle Étoile - bât 1A
ZI Paris Nord 2
95700 Roissy-en-France
FRANCE
contact@cenpac.fr
http://www.cenpac.fr","Meet your packaging needs at each step of your business growth"
"PIC DIGITAL","https://pic.digital","https://fr.linkedin.com/company/picdigital","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","administratif@pic-digital.com","245 allée Théodore Monod
64210 Bidart
FRANCE
administratif@pic-digital.com
https://pic.digital","Boost your e-commerce (make more money) by optimizing user experience, SEO & data for B2B ou B2C."
"Contentful","https://www.contentful.com","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","","Max-Urich-Straße 3
13355 Berlin
GERMANY

https://www.contentful.com","In a digital-first world, content IS the customer experience. Europcar and Contentful explain you why"
"CAP INFO","https://www.e-capinfo.com/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","infos@e-capinfo.com","3 Allée de la Combe
Immeuble le Sémanet II
69380 LISSIEU
FRANCE
infos@e-capinfo.com
https://www.e-capinfo.com/",""
"Xpollens","http://www.xpollens.com","https://www.linkedin.com/company/xpollens/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@xpollens.com","110 avenue de France
75013 Paris
FRANCE
hello@xpollens.com
http://www.xpollens.com",""
"IXOPAY","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/aut.svg","AUSTRIA","","Mariahilfer Straße 77-79
A-1060 Vienna
AUSTRIA",""
"Easyence","https://www.easyence.com","https://www.linkedin.com/company/easyence","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@easyence.com","9 rue des Colonnes
75002 Paris
FRANCE
contact@easyence.com
https://www.easyence.com",""
"ASTEN RETAIL","http://www.groupe-asten.fr","https://www.linkedin.com/company/groupe-asten","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","communication@groupe-asten.fr","26 rue Gaston Planté
29850 Gouesnou
FRANCE
communication@groupe-asten.fr
http://www.groupe-asten.fr",""
"RAYONNANCE","https://rayonnance.fr/","https://www.linkedin.com/company/107370/admin/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@rayonnance.fr","114 avenue Charles de Gaulle
92522 Neuilly-sur-Seine cedex
FRANCE
contact@rayonnance.fr
https://rayonnance.fr/","GO SPORT - Digitalization of stores for omnichannel commerce "
"PHILIPS / SIGNIFY","https://www.signify.com/fr-fr","https://www.linkedin.com/company/signifycompany/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","benedicte.lechevrel@signify.com","A l'attention Comptabilité Fournisseur
33 rue de Verdun
92150 Suresnes
FRANCE
benedicte.lechevrel@signify.com
https://www.signify.com/fr-fr",""
"SOCLOZ","https://www.socloz.com/","https://www.linkedin.com/company/socloz/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@socloz.com","16-18 rue de Vienne
75008 Paris
FRANCE
sales@socloz.com
https://www.socloz.com/",""
