employee_Fullname,job_title,company_name,linkedin_urls,count_employee
Jack Cutts,CIO,BNP Paribas Personal Finance UK,https://www.linkedin.com/in/jackcutts1/,13168
Julie Ashmore,Chief Executive Officer,Rapid Cash at NatWest,,13168
Aaron Brooks,CEO ,Vamp,https://www.linkedin.com/in/aaron-brooks-b7b07811/,92
Nick Bennett,Chief Technology and Operations Officer,Castle Trust Bank,https://www.linkedin.com/in/nick-bennett-b808521/,167
Leanne Bridges,Chief Product Owner and Head of Intelligence Control,Nationwide Building Society,https://www.linkedin.com/in/leannecbridges/,11231
Paul Trotter,Deputy Chief Technology Officer,Atom Bank,https://www.linkedin.com/in/paul-trotter-5752236/,415
Paul Norgrove,CEO,Protect and Serve CU,https://www.linkedin.com/in/paulnorgrove/,18
Lee Taylor,Chief Financial Officer,OnlyFans,https://www.linkedin.com/in/lee-taylor-58a31455/,1226
Keily Blair,Chief Strategy Officer & Operations Officer,OnlyFans,https://www.linkedin.com/in/keilyblair/,1226
Paul Horlock,Chief Payments Officer,Santander UK,https://www.linkedin.com/in/paul-horlock-33b8b311/,10542
Adrian Sargent ,CEO,Castle Community Bank,https://www.linkedin.com/in/adrianpsargent/,13
Sharon Miles,Chief Operating Officer,Chip,https://www.linkedin.com/in/sharonmiles/,149
Louise Ferslev,CEO & Founder,Mymonii,https://www.linkedin.com/in/louiseferslev/,20
Alexandra Rico-Lloyd,Founder,Bike Club,https://www.linkedin.com/in/alexandraricolloyd/,46
Manila McLean,CIO,Newcastle Building Society,https://www.linkedin.com/in/manilamclean/,170
Toby Kernon,CEO & Founder,Wagonex,https://www.linkedin.com/in/toby-kernon-b611a853/,14
Dharmesh Mistry,CEO,Askhomey,https://www.linkedin.com/in/dharmesh-mistry-b81207/,6
Hetal Popat,"Director, Open Banking",HSBC,https://www.linkedin.com/in/hpopat/,217320
Elizabeth Lumley,Deputy Editor ,The Banker,https://www.linkedin.com/in/elizabethlumley/,5583
Tarun Sachdeva,Chief Strategy Officer,Ziglu,https://www.linkedin.com/in/tarun-s-62528a5/,81
Sonal Lakhani,Global Head of Programmes and Strategic Initiatives,Barclays,https://www.linkedin.com/in/sonallakhani2312/,72656
James Devlin,"VP, Fintech Investor",Fidelity International Strategic Ventures,https://www.linkedin.com/in/james-devlin-98a82b58/,14
Garrett Olson,Head of Insurance & Risk Management,Wolt,https://www.linkedin.com/in/garrettolson/,5409
John Pyall,"Head of Product and Underwriting, Great Lakes",Munich Re,https://www.linkedin.com/in/john-pyall-577b631a/,79
Duncan Mc Ewen,"Manager, Payments",UK Finance,https://www.linkedin.com/in/duncan-mcewen-24747285/,288
Helena Forest,"Executive Director, EMEA Treasury Services",J.P. Morgan,https://www.linkedin.com/in/helena-forest-2573aa18/,67227
Briony Krikorian-Slade,"Principal, Payments",UK Finance,https://www.linkedin.com/in/briony-krikorian-slade/,288
Vicky Wang,Senior Manager - FS Partnerships ,Xero,https://www.linkedin.com/in/ruomengwang/,5313
