"name","city","state","zipcode","address","phone_no","page_url"
"Zipf-Air, Inc","Kirkwood","Missouri","63122","Kirkwood Missouri, US-63122","314-821-1200","https://www.trane.com/residential/en/dealers/zipf-air-inc-kirkwood-mo/"
"ZINSMEYER MECHANICAL & Welding","Castroville","Texas","78009","Castroville Texas, US-78009","830-985-3498","https://www.trane.com/residential/en/dealers/zinsmeyer-mechanical-and-welding-castroville-tx/"
"Zinsmeyer Air Conditioning & Heating","San Antonio","Texas","78009","San Antonio Texas, US-78009","830-985-8500","https://www.trane.com/residential/en/dealers/zinsmeyer-ac-and-heating-san-antonio-tx/"
"Zack Hammonds A/C Heating & Refrigeration","Dacula","Georgia","30019","Dacula Georgia, US-30019","770-860-1837","https://www.trane.com/residential/en/dealers/zack-hammonds-a-c-heating-and-refrigeration-dacula-ga/"
"YATES HTG & A/C, INC.","Russellville","Arkansas","72802","Russellville Arkansas, US-72802","877-899-4245","https://www.trane.com/residential/en/dealers/yates-htg-and-a-c-inc-russellville-ar/"
"YARD HEATING & COOLING","Taylorville","Illinois","62568","Taylorville Illinois, US-62568","217-824-4737","https://www.trane.com/residential/en/dealers/yard-heating-and-cooling-taylorville-il/"
"Xtreme Air Services","Sunnyvale","Texas","75182","Sunnyvale Texas, US-75182","972-288-2263","https://www.trane.com/residential/en/dealers/xtreme-air-services-sunnyvale-tx/"
"Wythe Sheet Metal, Inc. Heating & Air","Wytheville","Virginia","24382","Wytheville Virginia, US-24382","276-228-4521","https://www.trane.com/residential/en/dealers/wythe-sheet-metal-inc-heating-and-air-wytheville-va/"
"Wrights Comfort Solutions","Hollis","Oklahoma","73521","Hollis Oklahoma, US-73521","580-688-3586","https://www.trane.com/residential/en/dealers/wrights-comfort-solutions-hollis-ok/"
"Wright Heating & Air Services","Danville","Illinois","61832","Danville Illinois, US-61832","217-443-1996","https://www.trane.com/residential/en/dealers/wright-heating-and-air-services-danville-il/"
