"location_name","location_review","location_rating","location_type","location_address","location_website","location_contact_no","location_latitude","location_longitude"
"Ciro's Tavern","812 reviews","4.3","Restaurant","Ciro's Tavern, 42 Cherry St, Woonsocket, RI 02895","cirostavern.com","(401) 769-3330","42.0045639","-71.5131439","Food was cooked perfectly, service was polite and prompt. Came by for a quick bite when our first option was closed. Low light bar atmosphere with large flat screen TVs. Draft beer and cocktail options. Apps were decently sized and very flavorful. Their pork nachos are amazing and the tortilla chips were crisp and crunchy!,I have been ordering the Lobster BLT from here for years and it has been great. Tonight, I ordered one and got far less than half the amount of lobster as usual. I called and asked if I could get the meal refunded and they declined. I won’t be coming back.,Had the baked haddock meal. Barely had 3 oz of fish. I looked like a childs portion, not an adults. The potatoes had more flavor  then the haddock. Not a dish I would ever order again there.
Also, I was shocked by the number of customers  coming and going with their dogs in tow. Granted they were on the outdoor patio, but several of these dogs barked  thru my entire visit.
Not as pleasant as it has been before.,They were so thoughtful. I had made a reservation for a party of 15 and I received a call before the time and was asked if anyone in the party would have an issue with stairs or high top stools. I was a good thing they called, because it would have been an issue, but they had the forethought to call! Also when we got there our server was wonderful, friendly and just a lot of fun. Joking with us and making us laugh and everyone was happy with the food they ordered!,What an amazing lunch!  Opted for the sandwich and soup combo.  Delicious lobster bisque had chunks of lobster that barely fit on the soup spoon!  Colleague was impressed with the burger and salad as well.  Fantastic food coupled with excellent service makes Ciro's a must visit when in town!,A fun engaging place set in an old castle like building.  Food & service was good.  Nice selection and fair prices.  Great for a group.  Near Theatre easy to take in a performance.,Visited for the first time for the Halloween event! It was awesome. Such a good vibe with people from 25-40. Great music. The sausage ricotta pizza was so good too. Friendly,fast service.,This is a must-visit if you're in the area. The atmosphere is super inviting and relaxing, the staff is amazing, and the food is tasty. Decent bar selection, also! The lunch specials are sandwiches, salads, flatbread, wraps, soups, and some entree options as well. Nice menu and good prices. Will definitely be back."
"Michael's Food & Spirits","196 reviews","4.5","Bar & grill","Michael's Food & Spirits, 493 Elm St, Woonsocket, RI 02895","","(401) 766-3741","42.0074787","-71.4950755","Loved it bartender was very attentive, locals were awesome, food was hot as hell and the onion petals were amazing great way to end the night for my group. Probably best spot we ended up at out of all the places we went.,Super amazing bartenders.  Nice easy atmosphere and pool tables for added fun!!!

Highly recommend the deep fried raviolis.,This is long overdue, I've been coming here for 4+ years now it least once bi-monthly and the owners are great people, they beyond know what they are doin'  The most I've spent on a drink was 10.50$(?) but that was a patron margarita, The food comes out hot... and punctual, I mean to the point I've had to wait to eat my food... because it was that hot. I don't think I can even say anything negative about  this place or anything or anytime I've been there.,Good bar food - garlic chicken boneless bites with blue cheese was yummy! Cheese fries were great too!,Fun, unassuming bar with fantastic drinks, pool tables, fun karaoke nights, a friendly & attentive staff & appetizers & meals that are worth the trip!  Casual atmosphere and a great place to relax & chill with friends.  My go-to drink is the Hippie Juice!  For food, the Irish Nachos could feed a small town in Ireland...or anywhere for that matter.  It is the best!  I highly recommend the cheesy fries & the buffalo bleu burger.,Tina is the most gracious host who always makes you feel welcome, remembers what you drin, and runs fun games Fri night.  Free pool tables and popcorn too.,Hadn't been there in a long time. Under new ownership. Looked nice indoors and food was great! Enjoyed my time there very much. A good reason to return!,Haven't been up in this area for 20 yrs. (Trying to lay ma to rest😌) Rough day....googled ""liquor bar near me""......Stopped in and the bartender; TRACY (👋), and locals were so helpful. The Chicken Parm sandwich was to die for!!!! (LOVE my tator tots) I felt so welcomed! Would DEFINITELY recommend this place BUT, don't blink, you might miss it. (Everything's SO different up here, especially the buildings. Every place looks like a house!🤷🏼🤷🏼🤦) ABSOLUTELY HAVE TO STOP HERE😁😁😁"
"Kay's Restaurant","738 reviews","4.5","American restaurant","Kay's Restaurant, 1013 Cass Ave, Woonsocket, RI 02895","kaysrestaurant.com","(401) 762-9675","42.003947","-71.480707","Atmosphere was so fun and refreshing!
The waitress was fantastic and my 80 year old parents loved the igloo experience and loved there warm and tasty generous lazanga dish ; and delicious chicken pot pie.
The waitress Michele was the best!
A must go !,First time...great food.  Outside seating was a wonderful experience.,I live out of state but was born in Woonsocket, so every time I come home to visit, I always go to Kay's!!
I was truly disappointed for the first time ever coming here.  The service was fabulous but the food was terrible.  I always order the steak sandwich and it is always amazing, but this time it was not.  I couldn't even see the steak unless I took the bread off, I got mushrooms and onions but if I had 5 of each I was lucky.  It was so disappointing.   Too much on the menu now, so what made this restaurant successful (steak sandwich!) has been kicked to the curb.
Pretty sure my days of going to Kay's when I come home to visit  are over.  So sad 😞 😔,This is a terrific spot for an old school bar scene with quality cocktails and maybe the best steak sandwich in New England if not the entire eastern seaboard!!! Lovely, competent bar and wait staff. Great menu .. besides the aforementioned steak sandwich .. with really good pricing.,my stuffed mushrooms was terrible, they had cheese Melted on top & oily did not say on menu, my server was careless,Simply stated, a great spot, nothing pretentious, just good solid food. Our bartender was very nice, had answers to all our questions. Try to go there every year and it never lets me down!,If your looking for a place to go with friendly staff and great food check this place out! Kay's has the igloos! Service is quick and friendly! Ask for the waitress Katelyn she was awesome! Recommended and posted the lasagna and woah that lobster grilled cheese was more like a mountain! Turkey sandwich and Ruben was loaded as well. Definately worth checking out!,I grew up at kays and got see all their changes. And this last one is by far the worse.  They are bringing in all new dishes and in doing so there signature sandwich the steak and cheese has gone to hell.  I’ve gotten way to many bad one than good ones now.  And at 12.75 it is so not worth it.   My trip there was by far the worse and it will be awhile before I go back.  I’ve told many and have taken many there for there sandwich, and now I have nothing good to say about them.
Kay would not be happy!!!!!"
"Thai Garden","211 reviews","4.7","Thai restaurant","Thai Garden, 280 Main St, Woonsocket, RI 02895","thaigardenri.net","(401) 765-7010","42.0044444","-71.5127778","Great local Thai spot,  if you have not tried the Thai sausage you should.  Just remember this food has heat🔥🔥so if you have a delicate palate make sure you mentioned it before ordering...,went to just go pick up a side of sticky rice today for my girlfriend and upon entering i saw a baby roach crawling around on the check out counter. now can you imagine how it is in the back with all the food being made. absolutely disgusting. i tried to get a photo of the baby roach but my phone was in the car and by the time i ran to get it and came back in the roach was gone.,So I accidentally ordered a whole fish (Pla Jien, pictured) but it was delicious so it's all good! Chicken Satay, Shrimp Spring Rolls, and Squid Disco were all tasty appetizers, and the Beef Pad Thai was delicious as well. They're doing take out only for now, and I will definitely be back!,Nice hide away place.  Pho is definitely lao style.  Laab is good...chef can make it bitter or sour...the way you like it.  Sticky rice is like home made.  Definitely better than other thai/lao restaurants around.,Do yourself a favor and try the food before drawing conclusions. When you first walk in, you'll probably want to walk straight back out. The inside appearance doesn't do it justice. I've eaten many Thai dishes and this has been the most authentic Thai flavor I've had in years. Phenomenal. Can't wait to eat there again. But you might want to take it to go...,My family's favorite Thai restaurant. We pick up takeout at least once a week and often try new dishes. We are never disappointed. The owners/staff are friendly and it's nice to be a ""regular"" somewhere you feel seen.,Couldn't say enough how much I love this place.

Very authentic delicious Thai food!,Delicious fresh food with lots of flavors.
The portion could be better based on the price of the food."
"Missy's Family Restaurant","439 reviews","4.5","American restaurant","Missy's Family Restaurant, 801 Clinton St, Woonsocket, RI 02895","missysfamilyrestaurant.com","(401) 597-6442","42.009522","-71.50183","Small dinner peaceful  atmosphere  music playing softly. The food served 😋 if ever wanting  great serve this a good place to start your day,Was dropping my kid off at camp and decided to get some breakfast, was searching for some reviews and came across Missy's place. Really good homemade breakfast spot here in woonsocket. A definite must stop if you are in search for a local spot here, also maybe put on your breakfast trail of rhode island to visit the area also or passing thru.,First time going to this restaurant, and it was MORE than expected, the burger I had was delicious and full of flavor! The kids loved the food, 10/10 recommend! Will be back soon. Plus the waitress was really friendly.,Went for breakfast. Sat right down. Waitress promptly took our order. My wife and I both ordered omelets and an order of hash to share.

35 minutes went by since ordering and still no food. I was finally able to get the waitress's attention, who had walked by many times looking the other away, and I asked what the hold up was. She said 2 more minutes because corned beef hash takes forever. What?

So about 9 minutes later the food came out. My guess is they lost the order and didnt start it until we asked.

food was pretty good except the raisin toast (an up charge) was burned.
Owner stopped by with lots of excuses, but no adjustment to the $44 bill.

Never going back.,Nice little place pleasant staff, good food,I had the fried clams and they were really good..this place delivers Thanksgiving dinner to the disabled and elderly place that I live in..the Thanksgiving dinner is awesome too..thank you so much.,Food was delicious and staff was very friendly and attentive to us.  Absolutely returning for more!,I absolutely love this place. This is honestly my only go to breakfast spot. I try to go weekly. The food is excellent. Service is great. I always end up talking to the owner, she is just a sweet woman to chat with. Mostly family works there, and all are great. Sometimes when it's busy it's a little slower to get your food, but that's because they make everything to order, but definitely worth the wait. So glad I found this great place."
"Al's Place","197 reviews","4.7","Breakfast restaurant","Al's Place, 134 Providence St, Woonsocket, RI 02895","","(401) 762-6330","41.9947251","-71.5216552","Great little local diner. Ton of food. You won't have to eat till dinner. Coffee is good. Had eggs and corned beef hash (pretty sure it was canned). It was good though. Wife and son had omelets, said they were very good. Son had a 3egg and couldn't finish it, and he's 15 years old and an athlete. Definitely will go back if/and/or when we come back.,This is another spot here in woonsocket that needs to be on your stop for breakfast. Was in woonsocket for the last couple days and was checking out the different local spots for breakfast. Eggs yes, bacon crispy ✔️,  perfect homefries 👍. Give this local business some love.,Uncle Al’s is by far the best breakfast place in Rhode Island. Very friendly, affordable, and massive portion sizes. I love uncle Al and Michelle. You guys are the best!!!,My husband and I tried Al's place today . Al's place has earned it's good reviews. The food was great and service even better. The place is small but we had no problem finding a seat. I found a new breakfast place and I recommend this place to anyone,Just moved to Woonsocket Al's is right down the street. Thought why not, give it a try. Well let's just say this place is a 10/10. 5 stars doesn't do it justice.  We go out for breakfast often, but the veggie omelette I had today. Was the best I have ever had. Huge plates!! Amazing customer service. Al and Angel are both great people. So friendly, so welcoming. Very clean restaurant that's family owned.  Bathroom is also very clean. This is definitely our new breakfast place! Highly recommended!,Amazing place. Perfect pancakes and eggs. Excellent food and amazing staff. 10/10. Great all around.,Came for breakfast. Wow so happy we did. This review wont be able to  give Al's enough justice. The pancakes where as big as the plate. I ordered the ""he man"" breakfast. Came with 2 bacon 2 sausage 2 toast 2 pancakes and 2 eggs and a huge pile of home fries for 9.99 . The quality of the food was amazing, the ammount was mind blowing. And the price is very reasonable for what you get and how great it is. My wife and I would suggest Al's place to Any and everyone. We are definitely customers for life. And the wonderful women who took our order and served us while we where here was also just as amazing. Very friendly and kind. She also packaged our food for us when we finished. Thanks guys! Keep up the amazing work. We have a phone that's 6.5 inches long and the pancake was about 1 and a half the size of my phone.. huugeeee.,Al and Michelle a perfect father and daughter team! Always welcoming every guest that walks in.."
"Brews & Cues","49 reviews","3.7","Bar","Brews & Cues, 42 Rathbun St, Woonsocket, RI 02895","","(401) 356-4566","42.0094862","-71.5039329","One of the best bars in the city, fast service & always free pool. Mariah and Aimee are the best bartenders as well! Love this place,A friend invited me to go here last night for a few drinks it was the worst experience ive had at a bar it took like 10 15 mins to get a drink in a bar with no more then 25 people bartender was very rude i guess if ur not a regular ur treated different and the drink cost 9 dollar and didnt even taste like any alcohol was in it not a spot id recommend to go and if u do go buy something in a bottle so u know ur getting some kind of alcohol,Always a good time Thursday through Saturday nights are the best popping with the best dressed and the who's who of Woonsocket are always in attendance Asia the bartender is not only beautiful and courteous, but she also knows her patrons well and engages in conversation with all of them, which results in wonderful tips might i add and customer retention,Clean, but a little crowded,Bar tenders all hot and fun to chat with an cold beer even watch fights ...alot of kool people ive met in there ....,One of my favorite bars! Great for every night!,Terryanne is a racist dirty bully Rhode Island huff bully pitbull,Love that BAHH.. THEY HAVE THE BEST BARTENDERS!"
"Barbara's Place","273 reviews","4.7","Diner","Barbara's Place, 77 N Main St, Woonsocket, RI 02895","","(401) 356-4036","42.006676299999995","-71.51299949999999","I found a legit  neighborhood eatery that has it all. It's like everyone is both VIP & family. I wanted it all. I settled on steak and eggs and so glad I did. Juicy steak eggs with cheese and crispy home fries.
The cook delivers it to me and smiled and said "" I hope you like it""
Amazing exchange I felt her genuine words. The place was 3/4 full and everyone was chill. I will be back,Nice cozy & friendly place with quick service. I had a Western Omelette with a side of Hash,Found this little place so refreshing to walk in and have the hometown feeling! The server Beth took great care of us. She bounced around the place and ya know she loves what she's doing! Looking forward to going back! Food is excellent. Oh, the wieners are the best!!,Food is good! You'll have a good variety to choose from. Service is great. You'll feel at home at this place. A must visit.,Friendly home atmosphere dinner.  Generous portion for the$ . The fish could use more seasonings or salt,Every  thing was delicious  just wish the poor waitress  had more help she ran around  like crazy  she was just so over whelmed  we waited  1 hour  for our breakfast  But the food  was delicious,Great little place.  Good prices n delicious food.,This place is awesome always great food really nice people  and Lynn our server was epic on point and very kind"
"Chelo's Hometown Bar & Grille","1,037 reviews","4.2","Restaurant","Chelo's Hometown Bar & Grille, 490 Clinton St, Woonsocket, RI 02895","chelos.com","(401) 769-6622","42.007664","-71.5063049","The staff and everything was great! The food and how they can accommodate almost any request is everything. A place that is truly flexible is amazing my mom and I asked to split a dish and they did it!! With beauty! Presentation was amazing!!!,So how to rate this place...
Food: wife and I had the fish and chips. It came with 1 big piece of cod, steak fries and slaw. The fish was really good. Very tasty and flaky but not over cooked. Breading was a bit greasy on the bottom where it sat on the plate. Would be better if they made it 2 pieces instead of 1. Slaw was blah but I've actually had worse. Fries were good. Son had a burger with curly fries and said it was very good.
Drinks: Yuck. Iced tea was instant not brewed.
Service: very nice waitress we had a nice talk and she shared some local barber shops and other things we are in need of before dropping our boy at Mount.
Overall, pretty darn good. And we didn't even get desert.
It was very loud in there and the country music was a bit much. But hey I don't spend my day in there so I only had to listen for a little bit.,Monday Night Celebration Dinner for the little one getting a medal in gymnastics!! We had Ninja as our server. She was absolutely amazing!!!! Her service was impeccable!!! We will be back again and will most definitely be requesting Ninja to wait on us!!!,Food was great and came hot, it doesn't take much to make me happy. Just my food come the way I ordered it and it did. The waitress was great very pleasant.,Worst customer service..ordered dozen clam cakes. I'm guessing they don't know a dozen is 12 not 6..called an claimed they were very ruid an not willing to compensate us after we paid for 12 bot 6..food is amazing but customer service Trash..keep cooks there 100% .get rid of servers an hostess,Always friendly service and great food! I had curried chickpeas a rice which was delicious! Nice to have seasonal changes, new and fresh.,The food was good but the air was blasting. Hard to enjoy a meal when so cold. Several people commented, waitress said nothing she could do about it.,We went there for my mother 65th birthday and it was a wonderful experience the staff were great and the food was phenomenal they did a wonderful job this is where we go for every family occasion"
"Taco Bell","680 reviews","3.8","Fast food restaurant","Taco Bell, 1500 Diamond Hill Rd, Woonsocket, RI 02895","locations.tacobell.com","(401) 766-1082","42.0160797","-71.4801823","The employees had a very bad attitude. My friend ordered soft taco supreme and they didn't have tomato or sour cream. That's no big deal but when we went back to fix it they were being rude about it. Worse service ever. Did they split in her food idk.,First of all that’s not even real Mexican food you want real Mexican food go to California tacos or the one on social st, they both are the best and delicious better then Taco Bell.,Do not go to this Taco Bell! How do you forget to put meats on all tacos??? Stale chicken chalupas with no chicken in them!!??? The worst experience ever!,So I've been going here for 2 years but will NEVER go here again. Ordered some tacos and burritos for me and the kids and when I unwrapped my beefy melt and was about to take a bit I look down and there is literally HAIR all over the top. Not the spray hair that's gross but happens im talking hair from floor as though they dropped it and picked it up and put it back in wrapper. I found ""floor dirt and hair"" on 2 of my 10 tacos/burritos. Absolutely disgusting,Literally walked in around 2pm for them to tell us we can’t dine in because woman’s room toilet was clogged.  What would that have to do with DR,  just lock the bathroom door or block it.    Just the fact that they rushed us out because they HAD to lock the door really did it for me.,Only drive through service when I went. Would have preferred to eat in with AC and use the bathroom.  But food and service were good, other than forgetting to offer hot sauce.,Place which open till 2am. If you need food late night than this is best location,It's good especially there veggie Power bowl and nachos fried and nacho fries combo box"
