"name","sku","product_code","image","description","model","brand","manufacture_number","category","price","old_price","currency","price_display","rating","review_count","colors_type","size_wise_price","color_wise_price","page_url"
"Big and Tall Essentials by DXL Men's Relaxed-Fit Jeans, Black, 44W x 28L","1825753719","720594572638","https://i5.walmartimages.com/asr/9dbb68ee-8e67-4148-8cf5-20c45759980a.604ceb4c14aff39410e5bd40e33a7c0e.jpeg","Big and Tall Essentials by DXL Men's Relaxed-Fit Jeans, Black, 44W x 28L - Denim done right, with a proportioned fit and a touch of stretch for added comfort and flexibility. These jeans are made from soft, breathable cotton in a Relaxed Fit that sits at the waist, with a more tailored rise and leg. 99% cotton/1% spandex. Features include Relaxed Fit, belt loops, 5-pocket style and zip fly with button closure. Machine wash. Imported.DXL Men's Apparel - Offering exclusive sizes for big and tall, king-size, athletic-build men. Plus sizes for shorter men who need that extra bit around the waist","P1483 BLAC 44 28","Big and Tall Essentials by DXL","2380273","Clothing, Mens Clothing, Mens Jeans, Mens Jeans","32","","USD","$32.00","4","2","Black, Dark Rinse, Dark Wash, Light Wash, Medium Wash","44W X 28L: $32.00, 44W X 30L: $35.00, 44W X 32L: $32.00, 44W X 34L: $32.00, 44W x 28L: $32.00, 44W x 30L: $35.00, 44W x 32L: $35.00, 44W x 34L: $32.00, 46W X 28L: $35.00, 46W X 30L: $35.00, 46W X 32L: $32.00, 46W X 34L: $35.00, 46W x 28L: $35.00, 46W x 30L: $35.00, 46W x 32L: $35.00, 46W x 34L: $35.00, 48W X 28L: $32.00, 48W X 30L: $35.00, 48W X 32L: $32.00, 48W X 34L: $32.00, 48W x 28L: $32.00, 48W x 30L: $35.00, 48W x 32L: $35.00, 48W x 34L: $35.00, 50W X 28L: $32.00, 50W X 30L: $32.00, 50W X 32L: $32.00, 50W X 34L: $32.00, 50W x 28L: $32.00, 50W x 30L: $32.00, 50W x 32L: $35.00, 50W x 34L: $35.00, 52W X 28L: $32.00, 52W X 30L: $35.00, 52W X 32L: $35.00, 52W X 34L: $35.00, 52W x 28L: $32.00, 52W x 30L: $35.00, 52W x 32L: $35.00, 52W x 34L: $32.00, 54W X 28L: $35.00, 54W X 30L: $32.00, 54W X 32L: $35.00, 54W X 34L: $35.00, 54W x 28L: $32.00, 54W x 30L: $35.00, 54W x 32L: $32.00, 54W x 34L: $35.00, 56W X 28L: $35.00, 56W X 30L: $32.00, 56W X 32L: $32.00, 56W X 34L: $35.00, 56W x 28L: $35.00, 56W x 30L: $35.00, 56W x 32L: $35.00, 56W x 34L: $32.00, 58W X 28L: $32.00, 58W X 30L: $35.00, 58W X 32L: $35.00, 58W X 34L: $35.00, 58W x 28L: $32.00, 58W x 30L: $32.00, 58W x 32L: $32.00, 58W x 34L: $35.00, 60W X 28L: $32.00, 60W X 30L: $32.00, 60W X 32L: $32.00, 60W X 34L: $32.00, 60W x 28L: $32.00, 60W x 30L: $32.00, 60W x 32L: $35.00, 60W x 34L: $35.00",": Black: $32.00, Dark Rinse: $35.00, Dark Wash: $35.00, Light Wash: $32.00, Medium Wash: $32.00","https://www.walmart.com/ip/Big-and-Tall-Essentials-by-DXL-Men-s-Relaxed-Fit-Jeans-Black-44W-x-28L/1825753719"
"Mens Georgia College Football UGA Long Sleeve T-shirt Graphic Tee-Black-small","1817595838","697507582674","https://i5.walmartimages.com/asr/1abd3daa-e3a0-41fa-a3fe-8ac403766f47.e0a9d0d13799f7ed776eccec78fb82e8.jpeg","Show off how much you love your favorite college football team in this graphic tee! This super comfy tee is made of 6 oz., 100% preshrunk cotton. Ash grey, sport grey, and all other heather colors are a cotton/polyester blend. Double-needle stitched sleeve, hem, and 7/8? collar. Features a classic fit with taped neck and shoulders and a tear away label for maximum comfort and a perfect fit. We carry and ever-growing selection of apparel to suit the needs of the whole family. All of our tshirts are printed in-house by our professional production team. This guarantees that you are getting unique, one-of-a-kind design. Our graphic t-shirts are printed in the USA with state of the art equipment to ensure vibrant colors and lasting durability. We custom design apparel for all occasions: birthdays, holidays, Christmas, anniversaries, and more. Our apparel, hats, and tumblers make a great gift for your mom, dad, grandma, wife, husband, daughter, son, friends, and co-workers!","tscgavarsityls-blk-small","Trenz Shirt Company","tscgavarsityls-blk-small","Clothing, Mens Clothing, Mens Shirts, Mens T-Shirts","22.39","","USD","$22.39","","0","Black","S: $22.39, M: $25.59, L: $22.39, XL: $25.59, 2XL: $22.39, 3XL: $25.59, 4XL: $22.39, 5XL: $23.19",": Black: $22.39","https://www.walmart.com/ip/Mens-Georgia-College-Football-UGA-Long-Sleeve-T-shirt-Graphic-Tee-Black-small/1817595838"
"Gioberti Mens Casual Western Solid Short Sleeve Shirt with Pearl Snaps","451677662","840226138381","https://i5.walmartimages.com/asr/e979cfd9-b480-42fb-ab66-fc97a6f2da99_2.e400de2fef2db9b03d11d5f9d514b8db.jpeg","Gioberti Mens Casual Western Solid Short Sleeve Shirt With Pearl Snaps, Black, 2X Large","","Gioberti","SS-95W","Sports & Outdoors, Bikes, Bike Parts, Bike Forks","25.99","","USD","$25.99","4","36","Black, Brown, Burgundy, Gray, Ivory, Khaki, L Blue, Navy, Red, Royal Blue, Turquoise, White","S: $25.99, M: $25.99, L: $25.99, XL: $25.99, 2XL: $27.99, 3XL: $25.99, 4XL: $27.99, 5XL: $25.99",": Black: $25.99, Brown: $25.99, Burgundy: $25.99, Gray: $25.99, Ivory: $25.99, Khaki: $25.99, L Blue: $25.99, Navy: $25.99, Red: $25.99","https://www.walmart.com/ip/Gioberti-Mens-Casual-Western-Solid-Short-Sleeve-Shirt-with-Pearl-Snaps/451677662"
"Rokka&Rolla Men's Heavy Winter Coat Thermal Heat Puffer Jacket","432647828","843073142488","https://i5.walmartimages.com/asr/9e3c0643-3839-4731-ad01-a6807a148c7e.21ec1fce4260c83b96f5b7c0259936a7.jpeg","This Rokka&Rolla Men's Heavy Winter Coat is ideally best used for snow-based activities. How does thermal heat insulated technology work? The silver dots inside the lining traps your body heat which helps stabilize your body temperature. The fabric is water-repellent to any wet conditions. The heavy jacket is also reflective along the zipper which provides safety when being outdoors. One of the unique features: an inner media pocket with a media loop to better protect your device for storage.","","Rokka & Rolla","RRFW19-HPBJ-01RB01","Clothing, Mens Clothing, Mens Coats and Jackets, Mens Coats and Jackets","67.49","","USD","$67.49","4.6","72","Black Stone, Blue Cove, Burgunday","S: $64.49, M: $64.49, L: $67.49, XL: $67.49, XXL: $67.49",": Black Stone: $67.49, Blue Cove: $67.49, Burgunday: $64.49","https://www.walmart.com/ip/Rokka-Rolla-Men-s-Heavy-Winter-Coat-Thermal-Heat-Puffer-Jacket/432647828?athbdg=L1400"
"George Men’s Micro Fleece Button Shirt","1708409257","884968381940","https://i5.walmartimages.com/asr/73b816d5-2da0-46f0-bb70-581507d04bc8.2e0c1fd5c8ed910fd50189ec1c14151e.jpeg","Complete your handsome, polished look with George’s Micro Fleece Button Shirt for Men. Versatile and comfortable with a soft finish, this men’s shirt with long sleeves can be buttoned for a dressed-up look or dressed down for a cool-casual alternative—we’re thinking an unbuttoned style while showing off your favorite graphic tee. Exclusively at Walmart.","","George","","Clothing, Mens Clothing, Mens Shirts, Mens Casual Button Down Shirts","13.98","$19.98","USD","$13.98","4","4","Black Soot/Luscious Merlot Navojo Thunder, Dk Navy/Trailblazer Brown Navojo Thunder, Faded Green/Olive Rich Woodland Camo Print, Green Midnight/Black Buffalo Plaid, Grey/Black Woodland Camo Print, Red/Black Buffalo Plaid","XS: $13.98, S: $19.98, M: $13.98, L: $13.98, XL: $13.98, 2XL: $13.98, 3XL: $13.98, 4XL: $13.98, 5XL: $13.98","Black Soot/Luscious Merlot Navojo Thunder: $13.98, Dk Navy/Trailblazer Brown Navojo Thunder: $13.98, Faded Green/Olive Rich Woodland Camo Print: $13.98, Green Midnight/Black Buffalo Plaid: $13.98, Grey/Black Woodland Camo Print: $13.98, : Red/Black Buffalo Plaid: $13.98","https://www.walmart.com/ip/George-Men-s-Micro-Fleece-Button-Shirt/1708409257?athbdg=L1600"
"George Men's and Big Men's Sweater Fleece Jacket, up to Size 5XL","299736306","884968355019","https://i5.walmartimages.com/asr/202a4e98-a35c-40a3-8720-ab1d97811c11.9ae204d93e98d87630c173ebd8523e55.jpeg","Zip up in cozy style. This Sweater Fleece Jacket from George, with a soft faux sherpa lining, is a comfortable addition to your wardrobe and outerwear collection with a handsome layer to keep warm while looking cool. The front pockets on this men’s jacket are perfect for stashing your belongings wherever you go and easily layer over your favorite tees or button-up shirts. Exclusively at Walmart.","GE33100076924","George","GE33100076924","Clothing, Mens Clothing, Mens Coats and Jackets, Mens Coats and Jackets","19.98","$29.98","USD","$19.98","4.3","6","Black Soot, Blue Indigo, Green Midnight, Light Grey Heather, Oatmeal Heather","S: $19.98, M: $19.98, L: $29.98, XL: $19.98, 2XL: $19.98, 3XL: $29.98, 4XL: $19.98, 5XL: $19.98",": Black Soot: $19.98, Blue Indigo: $19.98, Green Midnight: $19.98, Light Grey Heather: $19.98, Oatmeal Heather: $19.98","https://www.walmart.com/ip/George-Men-s-and-Big-Men-s-Sweater-Fleece-Jacket-up-to-Size-5XL/299736306?athbdg=L1600"
"Mid-Ten Men USB Heated Outwear,Lightweight Hooded Heated Coat,Full-Zip Long Sleeve Heated Jacket,Winter Outdoor Warm Electric Heating Jacket Coat Outwear Clothing With Power Bank","742728631","","https://i5.walmartimages.com/asr/659e8d23-4dc0-49c4-8471-f1efa59f71ed.5ef9797fd141c29bf4acc4af5623d348.jpeg","<p>
 Specifications:
Product Name:Heated Caot Jacket
<strong>Notice:Due to heated coat contain a power bank, some orders will be developed separately. In addition, the power bank is an electronic product, and we will take other logistics, so the power pack and heated coat may not arrive at the same time.Hope for your understanding!</strong>
Condition: 100% Brand New and High Quality
Color: Black, Green, Light Gray (Optional)
Size: M, L, XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL (Follow the size chart to select please)
Material: Polyester, Down Cotton
Gender: Men
Input Voltage: 5V
Rated Power: 9W
Rated Current: 1850mA
Power Supply Interface: USB
Neckline: Hooded
Sleeve Length: Long Sleeve
Heated Area: Neck/Back/Belly
Function: Keep Warm, Water Repellent, Wear Resistance, Windproof
3 Modes Temperature: Warm: 50℃ (Red Light), Comfort: 40℃ (White Light), Energy Saving: 30℃ (Blue Light)
Lasting Time: 8 Hours (10000mAh) (Depending on the setting and battery capacity)

Features:
1. Adopted infrared carbon fibre heating material, which is heat-resistance, wear resistance and can warm up rapidly.
2. Soft and warm inner fabric offers you great comfort.
3. Three gears temperature control, red led for high gear, white led for middle gear, Blue led for low gear.
4. You can use your own power bank to charge the vest.The USB plug is compatible with most power bank in the market.
5. This vest will start heating in seconds when powered on. it’s widely compatible for outdoor skiing, winter fishing, mountain motorcycle, bicycle, camping, snow hiking, hunting, outdoor attendance, winter street, office daily, etc that meets all your needs.

How To Use:
1. Take out USB plug.
2. Plug in power bank.
3. Switch on the power bank.
4. Press the chest temperature control switch for 3 second.
5. Manual adjustment has three level, red light means high-temperature heating continuously.
6. White light means medium heating continuously, blue light means low heating continuously.
7. Long press the switch or take out the power bank, lights out and stop heating.

Washing Instructions:
1. Take out the power bank.
2. Do not force knead or beat.
3. After nature air drying can be use.
4. Machine wash & hand wash are available, make sure it is dried before heating.

Package Included:
1 x Heated Caot Jacket
or：
1 x Heated Caot Jacket with 10000mAH Power Banks

Note:
1. Please allow 1-2cm measuring deviation due to manual measurement.
2. Due to the different monitor and light effect, the actual color of the item might be slight different from the color shown on the pictures.
3. Batteries, connecting plugs and chargers should aviod contact with water during operation. It should be used in completely dry condition.
4. Please DO NOT disassemble, modify the heating film and control circuit, to prevent man-made damage to hot components.
5. The cable is waterproof, can be washed.
6. Always connect it to the power bank when heating.
7. Power bank is not included in the product.
</p>","2038202","Mid-Ten","2038202","Clothing, Mens Clothing, Mens Coats and Jackets, Mens Coats and Jackets","63.99","","USD","$63.99","4","11","No Powerbank, With Power Back","Black: $63.99, Green: $63.99, Light Gray: $63.99",": No Powerbank: $63.99, With Power Back: $92.99","https://www.walmart.com/ip/Mid-Ten-Men-USB-Heated-Outwear-Lightweight-Hooded-Coat-Full-Zip-Long-Sleeve-Jacket-Winter-Outdoor-Warm-Electric-Heating-Jacket-Coat-Outwear-Clothing-/742728631"
"SwissTech Men's Reversible Puffer Vest, Up to Size 3XL","224482588","821796444096","https://i5.walmartimages.com/asr/a435dde3-f685-481e-8082-855de7cfbf12.e6e0294fe1c86e275f5a10332050fc43.jpeg","This SwissTech Men's Reversible Puffer Vest is big on warmth and durability. It is wind and water resistant and it comes in a variety of colors so you can mix and match with your outfit of the day.","","Swiss Tech","","Clothing, Mens Clothing, Mens Coats and Jackets, Mens Coats and Jackets","12","$16.88","USD","$12.00","","30","Black Soot, Blue Cove, Brilliant Red, Sea Turtle","S: $12.00, M: $12.00, L: $12.00, XL: $12.00, 2XL: $12.00, 3XL: $12.00","Black Soot: $12.00, Blue Cove: $12.00, : Brilliant Red: $12.00, Sea Turtle: $12.00","https://www.walmart.com/ip/SwissTech-Men-s-Reversible-Puffer-Vest-Up-to-Size-3XL/224482588?athbdg=L1600"
"Thinking Please Be Patient Offensive Sarcastic Tshirts Funny Sayings Graphic Tees Gift For Mens Novelty T Shirt","715364186","073772681166","https://i5.walmartimages.com/asr/9e029ff1-84e5-4b90-8555-cfa220bd6776.0f0313c57e17835ba81b4a80a8ceaeec.jpeg","<h1><strong>Thinking Please Be Patient Offensive Sarcastic Tshirts Funny Sayings Graphic Tees Gift For Mens Novelty T Shirt </strong></h1>
<p> </p>
<h2><strong>Get Your Daily Dose of Humor With These Hilarious Funny T Shirts</strong></h2>
<p>Road Kill T shirts has a line of exceptionally funny t shirts that are perfect for those who are looking for edgy novelty T shirts to wear. If you are the type of person who likes to wear a graphic black tee with a funny quote or a witty comment, then these funny T shirts are perfect for you!</p>
<h2><strong>Amazing Variety</strong></h2>
<p>Finding comical graphic tees for women can be a challenge at times because some online stores only sell funny mens shirts. Here at Roadkill T Shirts, it’s altogether a different story! Our shirts come in all shapes and sizes, expanding the typical size chart of small, medium large to include sizes such as 5XL. Not only do you have access to heavy duty cotton shirts, but you can get Youth, Adult, Tall, and womens sizes as well!</p>
<h2><strong>The Perfect Funny Gift For Your Friends and Family M</strong><strong>embers</strong></h2>
<p>If you love to give a good gag gift to your loved ones, then you should really take a look around, as you are sure to find something you fall in love with. These make a great brothers birthday gift, or even a fathers day gift if you’re looking for a present for your old man.</p>","","Roadkill T-Shirts","PS_0218W_THINKING_PATIENT_MRT_SML_GRN","Clothing, Mens Clothing, Mens Shirts, Mens T-Shirts","15.99","","USD","$15.99","","0","Black, Blue, Brown, Charcoal, Dusk Blue, Green, Military Green","S: $18.99, M: $15.99, L: $15.99, XL: $12.79, 2XL: $19.99, 3XL: $17.99, 4XL: $17.99, 5XL: $15.99","Black: $15.99, Blue: $15.99, Brown: $15.99, Charcoal: $15.99, Dusk Blue: $15.99, : Green: $15.99, Military Green: $15.99","https://www.walmart.com/ip/Thinking-Please-Be-Patient-Offensive-Sarcastic-Tshirts-Funny-Sayings-Graphic-Tees-Gift-For-Mens-Novelty-T-Shirt/715364186"
"Swiss Tech Men’s Matching Family Faux Sherpa Full-Zip Jacket, Sizes S-3XL","999042649","884968272149","https://i5.walmartimages.com/asr/ee067891-1eb8-425e-9d77-3bc626ed545c.48bb44d7a5bb9916f8bda1bbc25664b8.jpeg","Warm up your wardrobe with Swiss Tech’s Faux Sherpa Quarter-Zip Jacket. It’s equipped with plenty of zip pockets and crafted in super-soft faux Sherpa to keep up with outdoor activities. With sizes to fit the whole family, this jacket is an easy way to upgrade everyone’s outerwear collection this season.","SWT100057354L","Swiss Tech","SWT100057354L","Clothing, Mens Clothing, Mens Coats and Jackets, Mens Coats and Jackets","19.98","$29.98","USD","$19.98","4.9","12","Aztec /Blue Cove/Orange Crush Pull, Blue Cove/Black Soot/Soft Silver Pull, Fruit Khaki/Blue Cove/Red Mark Pull, Sea Turtle/ Trailblazer Brown/Autumn Gold Pull, Soft Silver/Charcoal Sky/Red Mark Pull","S: $19.98, M: $19.98, L: $19.98, XL: $19.98, 2XL: $19.98, 3XL: $19.98","Aztec /Blue Cove/Orange Crush Pull: $19.98, Blue Cove/Black Soot/Soft Silver Pull: $19.98, : Fruit Khaki/Blue Cove/Red Mark Pull: $19.98, Sea Turtle/ Trailblazer Brown/Autumn Gold Pull: $19.98, Soft Silver/Charcoal Sky/Red Mark Pull: $19.98","https://www.walmart.com/ip/Swiss-Tech-Men-s-Matching-Family-Faux-Sherpa-Full-Zip-Jacket-Sizes-S-3XL/999042649?athbdg=L1600"
