"speakers_name","speakers_post","speakers_linkedin_or_twitter_url"
"Frederik Gregaard","CEO at Cardano Foundation","https://www.linkedin.com/in/gregaard/"
"Stefan Piech","Binance Research","https://www.linkedin.com/in/michela-silvestri/"
"Michael Eerhart","Skynet Trading","https://www.linkedin.com/in/michael-eerhart-41ab16b7/"
"Robin Lemann","Institutional Sales at Swissquote","https://www.linkedin.com/in/robin-lemann-22273295/?originalSubdomain=ch"
"Dr. Alexander Bechtel","Head of Digital Strategy at DWS","https://www.linkedin.com/in/alexanderbechtel/?originalSubdomain=ch"
"Nicholas Cogswell","Head of Sales at EQONEX","https://www.linkedin.com/in/Nick-cogswell/"
"Michela Silvestri","Huobi Exchange","https://www.linkedin.com/in/michela-silvestri/"
"Shirly Valge","COO of Velas","https://www.linkedin.com/in/shirly-valge/"
"Alexandre Auriol","Partnerships at the Sandbox","https://www.linkedin.com/in/alexandre-auriol-22372511a/?originalSubdomain=fr"
"Megan Nilsson","NFT Consultant","https://twitter.com/megan_crypto"
"Elena Obukhova","CEO at FlashBack","https://www.linkedin.com/in/elenaobukhova"
"Dominic Lohberger","Head of Trading of Sygnum",""
"Peter Hofmann","Coinbase Switzerland","https://www.linkedin.com/in/hofmannpeter/?originalSubdomain=ch"
"Mehdi Farooq","Analyst at Animoca Brands","https://twitter.com/MehdiFarooq2"
"Wolfgang Berger","Partner & CTO Banking at IBM","https://de.linkedin.com/in/wolfgang-berger-75324a45"
"Catie Romero","CEO at the BABs Labs","https://twitter.com/catieromero"
"Hirander Misra","GMEX Group","https://twitter.com/HIRANDER_MISRA"
"Alain Kunz","European Sales Head at GSR","https://www.linkedin.com/in/alainkunz/"
"Davinci Jeremie","Crypto Educator @Davincij15","https://www.youtube.com/@davincij15"
"Carl Runefelt","The Moon Group","https://www.linkedin.com/in/carlrunefelt/"
"Salama Belghali","BitMEX","https://www.linkedin.com/in/salama-b-98a3b1/"
"Julien Bouteloup","Founder of Stake Capital Group","https://www.linkedin.com/in/jbouteloup/"
"Luc  Froehlich","Digital Assets at Fidelity","https://www.linkedin.com/in/lucfroehlich/"
"Naeem Aslam","Columnist at NASDAQ","https://www.linkedin.com/in/naeem-aslam-qfa-8bbbb124/?originalSubdomain=uk"
"Markus Abbassi","Kaleido Privatbank AG","https://www.linkedin.com/in/markus-abbassi/?originalSubdomain=ch"
"Mauro Casellini","CEO at Bitcoin Suisse (LI)","https://www.linkedin.com/company/bitcoin-suisse-ag/"
"Mark Banner","Founder and CEO at Covario","https://www.linkedin.com/in/mbanner/"
"Arvin Khamseh","#1 trending NFT on Opensea","https://twitter.com/ArvinkNft"
"Simon Hudson","CEO & Founder of Cheeze","https://www.instagram.com/vadbond13/?hl=en"
"Adriano Bertini","Lead at Ledger Enterprise","https://www.linkedin.com/in/adriano-bertini/?originalSubdomain=ch"
"Nathan Benchimol","CEO of Nomiks","https://www.linkedin.com/in/nathanbenchimol/"
"Madalin Muraretiu","Co-founder at COINsiglieri","https://www.linkedin.com/in/madalin-muraretiu-b8bb74105/"
"Ian Melhorn","Blockchain Training Lead at Circle","https://www.linkedin.com/in/ijmelhorn/"
"Lone Fønss Schrøder","CEO of Concordium","https://www.linkedin.com/in/lone-fonss-schroder-b49ab22a/"
"Felix Mago","Author of “Bitcoin Handbook”","https://www.linkedin.com/in/felix-mago/"
"Aliya Das Gupta","Senior Vice President at Sygnum","https://ch.linkedin.com/in/aliya-das-gupta"
"Dr. Daniel Diemers","Co-Founder at SNGLR Group","https://www.linkedin.com/in/ddiemers/?originalSubdomain=ch"
"Prashant K Singh","Consulting Manager at Deloitte","https://www.linkedin.com/in/prashant-k-singh-55511625/"
"Dominic Williams","Founder at DFINITY","https://www.linkedin.com/in/thedwilliams/"
"Thierry Arys Ruiz","CEO & Chairman at AgAu AG","https://www.linkedin.com/in/joethierryarysruiz/"
"Leeor Groen","Director at Spartan Group","https://www.linkedin.com/in/leeorgroen/"
"Kåre Kjelstrøm","CTO at Concordium","https://www.linkedin.com/in/kaarekjelstroem/"
"Joaquin Tusquets","Web3 advisor","https://www.linkedin.com/in/joaquin-tusquets-66487b21a/"
"Niccolò Bardoscia","VP at Intesa Sanpaolo","https://it.linkedin.com/in/niccol%C3%B2-bardoscia-36585870/en"
"Alex Philippine","CIO Onering","https://www.linkedin.com/in/alex-philippine-709242168/"
"Nitin Gaur","Digital Assets at State Street","https://www.linkedin.com/in/nitin-gaur-75571a9/"
"Jaspreet Randhawa","CEO of Reveri","https://www.linkedin.com/in/jaspreetrandhawa/"
"Athena Yu","VP of Binance Custody","https://www.linkedin.com/in/athena-yu-813183171/?locale=en_US"
