"title_name","address_country","street_address","address_locality","address_region","telephone","email","website_url","check_claimed_or_not","ratings","description","open_hours","categories","other_phone_no","other_websites","page_urls"
"Intesa Sanpaolo Spa","US","1 William St","New York","NY","(212) 607-3834","joseph.limeri@intesasanpaolo.com","http://www.intesasanpaolo.com","Claimed","zero","Intesa Sanpaolo is the banking group which was formed by the merger of Banca Intesa and Sanpaolo IMI. The merger brought together two major Italian banks with shared values so as to increase their opportunities for growth, enhance service for retail customers, significantly support the development of businesses and make an important contribution to the country's growth.Intesa Sanpaolo is among the top banking groups in the euro zone, with a market capitalisation of 35.3 billion euro(1).Intesa Sanpaolo is the leader in Italy in all business areas (retail, corporate, and wealth management). The Group offers its services to 11.1 million customers through a network of over 4,000 branches well distributed throughout the country with market shares no lower than 12% in most Italian regions.Intesa Sanpaolo has a selected presence in Central Eastern Europe and Middle Eastern and North African areas with approximately 1,200 branches and 7.9 million customers belonging to the Group's subsidiaries operating in commercial banking in 12 countries.Moreover, an international network of specialists in support of corporate customers spreads across 29 countries, in particular in the Middle East and North Africa and in those areas where Italian companies are most active, such as the United States, Brazil, Russia, India and China.","Regular Hours:Mon - Fri:9:00 am - 5:00 pm & Sat - SunClosed","Banks","","http://www.intesasanpaolo.com","https://www.yellowpages.com/new-york-ny/mip/intesa-sanpaolo-spa-4188598?lid=1002102705124"
"M&T Bank","US","310 Malcolm X Blvd","New York","NY","(212) 987-5837","anthony.estwick@gmail.com","https://locations.mtb.com/ny/newyork/bank-branches-and-atms-new-york-ny-546.html?y_source=1_MjUwODI1MDgtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","Claimed","zero","Plan your visit to M&T Bank's Harlem branch and ATM in New York, NY by checking our hours of operation or taking advantage of branch ATMs, open 24/7. M&T Bank is a community-focused, regional financial services company committed to serving the way you bank today, at a location near you.","Regular Hours:Mon:9:00 am - 4:00 pm & Thu:9:00 am - 5:00 pm & Fri:9:00 am - 4:00 pm & SatClosed","Banks, Commercial & Savings Banks, Loans","Fax: (212) 987-5051","https://locations.mtb.com/ny/newyork/bank-branches-and-atms-new-york-ny-546.html, Reservations","https://www.yellowpages.com/new-york-ny/mip/m-t-bank-29519902"
"U.S. Bank","US","100 Wall St Ste 1101","New York","NY","(212) 361-2515","dfsoptout@usbank.com","http://www.usbank.com","Not Claimed","zero","","Do you know the hours for this business?","Banks, Commercial & Savings Banks, Financial Services, Loans","Phone: (212) 742-7944, Phone: (917) 542-0201, Phone: (212) 361-4388, TollFree: (800) 934-6802","http://www.usbank.com, https://www.usbank.com/cgi_w/cfm/commercial_business/products_and_services/corp_trust/bond_drop_ps.cfm","https://www.yellowpages.com/new-york-ny/mip/u-s-bank-453255845"
"KeyBank","US","11 E 22nd St","New York","NY","(212) 614-6870","NY0466_Keycenter@KeyBank.com","https://www.key.com/locations/ny/new-york/BRCH32900466/11-e-22nd-st.?ppc=cmpyxt","Claimed","zero","Cleveland-based KeyCorp is one of the nation’s largest bank-based financial services companies, with assets of approximately $93.8 billion. Key companies provide investment management, retail and commercial banking, consumer finance, and investment banking products and services to individuals and companies throughout the United States and, for certain businesses, internationally. The company’s businesses deliver their products and services through branches and offices; a network of 1,200+ ATMs; telephone banking centers 800-KEY2YOU®; and a website, Key.com®, and mobile app that provides account access and financial products 24 hours a day.","Regular Hours:Mon:9:00 am - 4:00 pm & Fri:9:00 am - 5:00 pm & SatClosed","Banks, Commercial & Savings Banks, Loans","","https://www.key.com/locations/ny/new-york/BRCH32900466/11-e-22nd-st., https://www.timetrade.com/app/keybank/workflows/keybank002/schedule/?locationId=KEYBRCH32900466&fs=1&appointmentTypeGroupId=banking&ch=yext","https://www.yellowpages.com/new-york-ny/mip/keybank-458515037"
"PNC Private Bank","US","340 Madison Ave","New York","NY","(212) 661-1064","pncpaymentportal@pnc.com","https://www.pnc.com/en/personal-banking/private-bank.html?lnksrc=private-bank-listing-website","Claimed","zero","PNC Private Bank offers advice and solutions to help individuals, families and business owners grow and manage their short-term and long-term wealth needs.","Regular Hours:Mon:8:00 am - 5:00 pm & SunClosed","Banks, Commercial & Savings Banks, Loans","TollFree: (888) 762-2265","https://www.pnc.com/en/personal-banking/private-bank.html?lnksrc=private-bank-listing-website","https://www.yellowpages.com/new-york-ny/mip/pnc-private-bank-452152728"
"TD Bank","US","1619 Broadway","New York","NY","(212) 246-2112","","https://www.td.com/us/en/personal-banking/store-locator?y_source=1_MzE0NzIxNi01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D#/?utm_source=google-maps&utm_medium=yext&utm_campaign=always_on&utm_content=tdct_appointment","Claimed","zero","TD Bank, America's Most Convenient Bank, is one of the 10 largest banks in the U.S., providing more than 8 million customers with a full range of retail, small business and commercial banking products and services at more than 1,200 convenient locations throughout the Northeast, Mid-Atlantic, Metro D.C., the Carolinas and Florida. In addition, TD Bank and its subsidiaries offer customized private banking and wealth management services through TD Wealth®, and vehicle financing and dealer commercial services through TD Auto Finance. TD Bank is headquartered in Cherry Hill, N.J.","Regular Hours:Mon:8:00 am - 6:00 pm & Sat:9:30 am - 1:00 pm & SunClosed","Banks, Commercial & Savings Banks, Financial Services, Investments, Loans, Mortgages","Fax: (212) 246-2212","https://www.td.com/us/en/personal-banking/store-locator#/, https://www.td.com/us/en/personal-banking/book-appointment#/appointment-type","https://www.yellowpages.com/new-york-ny/mip/td-bank-456377765"
"Citi ATM","US","123 E 86th St","New York","NY","(800) 627-3999","dalaholm@hotmail.com","https://www.citi.com/?utm_source=extnet&utm_medium=yext","Claimed","zero","Citi is a financial services company, which offers a range of financial products and services, including Citi’s digital banking services, mortgage products, personal loans, and small business banking products and services, Citi Cards’ credit card offers, and Citi Personal Wealth Management’s investment products and services. Deposit and Lending products are offered by Citibank, N.A.  NMLS ID 412915 Equal Housing Lender and Member FDIC.","Regular Hours:Mon - Fri:8:30 am - 5:30 pm & Sat:10:00 am - 4:00 pm &","Banks, Commercial & Savings Banks, Financial Services, Loans","","https://www.citi.com/","https://www.yellowpages.com/new-york-ny/mip/citi-atm-21095265"
"United Commercial Services Inc","US","150 Broadway","New York","NY","(800) 656-6679","","","Not Claimed","zero","","Do you know the hours for this business?","Banks","","","https://www.yellowpages.com/new-york-ny/mip/united-commercial-services-inc-453327824"
"First American National Bank","US","29 Bowery","New York","NY","(212) 680-3131","","","Not Claimed","zero","","Regular Hours:Mon - Fri:8:30 am - 4:00 pm & Sat:10:00 am - 2:00 pm &","Banks, Commercial & Savings Banks, Loans, Mortgages","Phone: (212) 680-1999, Phone: (212) 274-8128, Phone: (212) 343-7280, Phone: (212) 925-5003","","https://www.yellowpages.com/new-york-ny/mip/first-american-national-bank-2185297"
"Capital One Bank","US","1407 Broadway","New York","NY","(212) 869-0021","","http://www.capitalone.com","Not Claimed","zero","","Regular Hours:Mon - Fri:9:00 am - 6:00 pm &","Banks, Commercial & Savings Banks","Phone: (212) 869-4574, Fax: (212) 869-4574","http://www.capitalone.com","https://www.yellowpages.com/new-york-ny/mip/capital-one-bank-22612149"
